refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR6191764	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B04_scRNA-seq	
SRR6191765	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B05_scRNA-seq	
SRR6191766	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B06_scRNA-seq	
SRR6191767	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B07_scRNA-seq	
SRR6191768	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B08_scRNA-seq	
SRR6191769	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B09_scRNA-seq	
SRR6191770	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B10_scRNA-seq	
SRR6191771	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B11_scRNA-seq	
SRR6191772	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B12_scRNA-seq	
SRR6191773	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C02_scRNA-seq	
SRR6191774	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C03_scRNA-seq	
SRR6191775	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C04_scRNA-seq	
SRR6191776	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C05_scRNA-seq	
SRR6191777	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C06_scRNA-seq	
SRR6191778	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C07_scRNA-seq	
SRR6191779	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C08_scRNA-seq	
SRR6191780	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C09_scRNA-seq	
SRR6191781	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C10_scRNA-seq	
SRR6191782	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C11_scRNA-seq	
SRR6191783	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_C12_scRNA-seq	
SRR6191785	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D02_scRNA-seq	
SRR6191786	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D03_scRNA-seq	
SRR6191787	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D04_scRNA-seq	
SRR6191788	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D05_scRNA-seq	
SRR6191789	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D06_scRNA-seq	
SRR6191790	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D07_scRNA-seq	
SRR6191791	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D08_scRNA-seq	
SRR6191792	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D09_scRNA-seq	
SRR6191793	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D10_scRNA-seq	
SRR6191794	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D11_scRNA-seq	
SRR6191795	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_D12_scRNA-seq	
SRR6191796	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E01_scRNA-seq	
SRR6191797	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E02_scRNA-seq	
SRR6191798	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E03_scRNA-seq	
SRR6191799	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E04_scRNA-seq	
SRR6191800	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E06_scRNA-seq	
SRR6191801	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E07_scRNA-seq	
SRR6191802	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E08_scRNA-seq	
SRR6191803	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E09_scRNA-seq	
SRR6191804	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E10_scRNA-seq	
SRR6191805	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E11_scRNA-seq	
SRR6191806	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_E12_scRNA-seq	
SRR6191807	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F01_scRNA-seq	
SRR6191808	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F02_scRNA-seq	
SRR6191809	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F03_scRNA-seq	
SRR6191810	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F04_scRNA-seq	
SRR6191811	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F05_scRNA-seq	
SRR6191812	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F06_scRNA-seq	
SRR6191813	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F07_scRNA-seq	
SRR6191814	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F08_scRNA-seq	
SRR6191815	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F09_scRNA-seq	
SRR6191816	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F10_scRNA-seq	
SRR6191817	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F11_scRNA-seq	
SRR6191818	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_F12_scRNA-seq	
SRR6191819	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G01_scRNA-seq	
SRR6191820	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G02_scRNA-seq	
SRR6191821	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G03_scRNA-seq	
SRR6191822	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G04_scRNA-seq	
SRR6191823	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G05_scRNA-seq	
SRR6191824	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G06_scRNA-seq	
SRR6191825	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G07_scRNA-seq	
SRR6191826	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G08_scRNA-seq	
SRR6191827	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G09_scRNA-seq	
SRR6191828	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G10_scRNA-seq	
SRR6191829	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G11_scRNA-seq	
SRR6191830	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_G12_scRNA-seq	
SRR6191831	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H01_scRNA-seq	
SRR6191832	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H02_scRNA-seq	
SRR6191833	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H03_scRNA-seq	
SRR6191834	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H04_scRNA-seq	
SRR6191835	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H05_scRNA-seq	
SRR6191836	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H06_scRNA-seq	
SRR6191837	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H07_scRNA-seq	
SRR6191838	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H08_scRNA-seq	
SRR6191839	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H09_scRNA-seq	
SRR6191840	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H10_scRNA-seq	
SRR6191841	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H11_scRNA-seq	
SRR6191842	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_H12_scRNA-seq	
SRR6191843	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t0	t0	BJ_MYO_R1_T0_A01_scRNA-seq	
SRR6191844	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t0	t0	BJ_MYO_R1_T0_A02_scRNA-seq	
SRR6191845	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t0	t0	BJ_MYO_R1_T0_A03_scRNA-seq	
SRR6191846	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t0	t0	BJ_MYO_R1_T0_A04_scRNA-seq	
SRR6191847	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t0	t0	BJ_MYO_R1_T0_A05_scRNA-seq	
